,links
0,http://aajtak.intoday.in/gallery/29-august-2012-1-3986.html
1,http://aajtak.intoday.in/gallery/outrageous-remarks-on-rape-1-4725.html
2,http://aajtak.intoday.in/gallery/news-of-11-august-2013-in-pics-1-5657.html
3,http://aajtak.intoday.in/gallery/history-of-bjp-from-jansangh-to-bhartiya-janta-party-1-11872.html
4,http://aajtak.intoday.in/gallery/delhi-metro-price-hike-save-money-by-3-tips-tut-1-15269.html
5,http://aajtak.intoday.in/gallery/ashish-bagga-on-stage-with-kalli-purie-at-mind-rocks-youth-summit-2013-1-5176.html
6,http://aajtak.intoday.in/gallery/china-s-first-lady-peng-liyuan-visits-delhi-schools-1-7341.html
7,http://aajtak.intoday.in/gallery/govindas-are-playing-with-danger-in-mumbai-for-dahi-handi-festival-1-9185.html
8,http://aajtak.intoday.in/gallery/top-news-of-21st-july-2016-1-10726.html
9,http://aajtak.intoday.in/gallery/heavy-rainfall-in-many-parts-of-india-1-10701.html
10,http://aajtak.intoday.in/gallery/26-may-2012-1-3461.html
11,http://aajtak.intoday.in/gallery/Divide-Within-BJP-on-Narendra-Modi-1-3538.html
12,http://aajtak.intoday.in/gallery/02-may--2013-newsreel-1-5325.html
13,http://aajtak.intoday.in/gallery/remember-10-tips-during-rail-accident-1-14577.html
14,http://aajtak.intoday.in/gallery/23rd-february-s-all-big-news-in-photos-1-9844.html
15,http://aajtak.intoday.in/gallery/did-rahul-scatter-magic-dust-around-amethi-only-2014-will-tell-1-4876.html
16,http://aajtak.intoday.in/gallery/big-news-with-picture-26th-july-2016-1-10751.html
17,http://aajtak.intoday.in/gallery/news-of-24th-april-2013-1-5291.html
18,http://aajtak.intoday.in/gallery/top-news-of-20th-september-2015-1-9237.html
19,http://aajtak.intoday.in/gallery/-top-news-of-27-august-2014-in-pictures-1-7230.html
20,http://aajtak.intoday.in/gallery/siddharth-malya-shares-greece-vacatios-photos-in-instagram-1-12003.html
21,http://aajtak.intoday.in/gallery/z-plus-security-indias-most-well-guarded-chief-ministers-1-8454.html
22,http://aajtak.intoday.in/gallery/25-dec-2012-aajtak-newsreel-1-4657.html
23,http://aajtak.intoday.in/gallery/pictures-of-amit-shahs-son-engagement-1-7018.html
24,http://aajtak.intoday.in/gallery/heavy-rainfall-and-strong-winds-lash-in-chennai-due-to-cyclonevardah-1-11248.html
25,http://aajtak.intoday.in/gallery/pm-for-strengthening-panchayati-raj-institutions-1-5290.html
26,http://aajtak.intoday.in/gallery/top-news-of-the-17th-june-2014-1-6909.html
27,http://aajtak.intoday.in/gallery/top-news-of-26th-dec-2013-1-6192.html
28,http://aajtak.intoday.in/gallery/wrapped-in-tricolour-bal-thackeray-begins-final-journey-1-4442.html
29,http://aajtak.intoday.in/gallery/Fighter-jets-of-Indian-Air-Force-1-2848.html
30,http://aajtak.intoday.in/gallery/top-news-on-22nd-april-2016-1-10150.html
31,http://aajtak.intoday.in/gallery/queer-gay-pride-parade-in-delhi-1-4484.html
32,http://aajtak.intoday.in/gallery/kashmir-floods-army-launches-rescue-operations-1-8443.html
33,http://aajtak.intoday.in/gallery/25-august-2012-1-3962.html
34,http://aajtak.intoday.in/gallery/top-news-of-2-december-2014-in-pictures--1-7874.html
35,http://aajtak.intoday.in/gallery/29-july-2012-1-3781.html
36,http://aajtak.intoday.in/gallery/pm-modi-birthday-union-ministers-swachhata-hi-seva-cleanliness-campaign-1-14822.html
37,http://aajtak.intoday.in/gallery/top-news-of-21-july-2013-1-5564.html
38,http://aajtak.intoday.in/gallery/mamta-meets-akhilesh-yadav-1-4056.html
39,http://aajtak.intoday.in/gallery/Bhopal-congress-1-3724.html
40,http://aajtak.intoday.in/gallery/top-news-of-4th-february-2016-1-9764.html
41,http://aajtak.intoday.in/gallery/11-september-2012-1-4051.html
42,http://aajtak.intoday.in/gallery/satire-and-humour-based-on-narendra-modi-in-virtual-world-1-7034.html
43,http://aajtak.intoday.in/gallery/top-news-of-19th-may-2014-1-6755.html
44,http://aajtak.intoday.in/gallery/top-news-of-21st-january-2014-1-6282.html
45,http://aajtak.intoday.in/gallery/top-news-of-24-july-2014--1-7069.html
46,http://aajtak.intoday.in/gallery/top-news-of-11-september-2013-1-5794.html
47,http://aajtak.intoday.in/gallery/top-news-this-week-1-4720.html
48,http://aajtak.intoday.in/gallery/top-news-of-29-april-2013-1-5309.html
49,http://aajtak.intoday.in/gallery/Top-News-of-16th-November-2012-1-4431.html
50,http://aajtak.intoday.in/gallery/agrressive-modi-addresses-big-rally-in-hyderabad-1-5656.html
51,http://aajtak.intoday.in/gallery/dalai-lama-arrives-in-patna-for-buddhist-meet-1-4705.html
52,http://aajtak.intoday.in/gallery/news-on-2-feb-2013-1-4851.html
53,http://aajtak.intoday.in/gallery/indian-community-prostitution-tradition-1-11489.html
54,http://aajtak.intoday.in/gallery/top-news-of-28th-jan-2014-1-6312.html
55,http://aajtak.intoday.in/gallery/Newsreel-of-19th-Sept-1-4102.html
56,http://aajtak.intoday.in/gallery/indian-celebrities-who-are-made-god-in-temples-around-the-country-1-8392.html
57,http://aajtak.intoday.in/gallery/doon-express-accident-1-3490.html
58,http://aajtak.intoday.in/gallery/digvijaya-singh-addresses-meet-in-guwahati-1-4460.html
59,http://aajtak.intoday.in/gallery/26-july-2012-1-3762.html
60,http://aajtak.intoday.in/gallery/sanjay-dutt-surrenders-amid-media-glare-and-tight-security-1-5381.html
61,http://aajtak.intoday.in/gallery/Top-stories-of-16th-October-2012-1-4257.html
62,http://aajtak.intoday.in/gallery/newsreel-of-28th-Sept-1-4155.html
63,http://aajtak.intoday.in/gallery/indias-longest-tunnel-chenani-nashri-tunnel-jammu-kashmir-inauguration-modi-1-11725.html
64,http://aajtak.intoday.in/gallery/big-news-of-9th-september-2014-in-pictures-1-7296.html
65,http://aajtak.intoday.in/gallery/radhe-maa-will-be-seen-in-web-series-no-casting-no-couch-only-ouch-radhe-maa-disputes-1-12592.html
66,http://aajtak.intoday.in/gallery/day-in-pictures-8-january-2013-1-4730.html
