,links
0,http://aajtak.intoday.in/gallery/serena-williams-1-3667.html
1,http://aajtak.intoday.in/gallery/many-big-names-will-not-play-next-world-t20-like-ms-dhoni-ab-de-villiers-ashish-nehra-and-chris-gayle-1-10028.html
2,http://aajtak.intoday.in/gallery/chess-champion-tania-sachdev-is-a-combination-of-beauty-and-brain-1-6816.html
3,http://aajtak.intoday.in/gallery/mumbai-thrash-kolkata-move-to-second-spot-in-points-table-1-5348.html
4,http://aajtak.intoday.in/gallery/cricketers-who-are-lions-of-odi-but-failed-in-test-cricket-1-8131.html
5,http://aajtak.intoday.in/gallery/leander-paes-martina-hingis-win-mixed-doubles-title-at-us-open-third-victory-for-this-duo-in-2015-1-9203.html
6,http://aajtak.intoday.in/gallery/oman-defeat-ireland-for-first-upset-of-tournament-in-icc-t20-world-cup-1-9919.html
7,http://aajtak.intoday.in/gallery/happy-birthday-yuvraj-1-3202.html
8,http://aajtak.intoday.in/gallery/asian-games-2014-innaugration-ceremony-in-pics-1-7346.html
9,http://aajtak.intoday.in/gallery/laxmipati-balaji-1-4139.html
10,http://aajtak.intoday.in/gallery/bengaluru-cricket-test-match-between-india-sa-called-off-after-four-days-of-washouts-1-9447.html
11,http://aajtak.intoday.in/gallery/happy-birthday-joshna-chinappa-1-7323.html
12,http://aajtak.intoday.in/gallery/cricket-test--australia-take-charge-against-sri-lanka-in-sydney-1-4713.html
13,http://aajtak.intoday.in/gallery/afghanistan-wins-against-scotland-in-icc-t20-world-cup-qualifier-match-1-9910.html
14,http://aajtak.intoday.in/gallery/kapil-dev-1-1278.html
15,http://aajtak.intoday.in/gallery/these-pictures-shared-by-rohit-sharmas-fiancée-ritika-sajdeh--1-8599.html
16,http://aajtak.intoday.in/gallery/india-defeated-sri-lanka-1-3848.html
17,http://aajtak.intoday.in/gallery/chennai-super-kings-humiliate-delhi-by-93-runs-in-ipl-7-1-6636.html
18,http://aajtak.intoday.in/gallery/top-hottest-wags-of-soccer-player-s-footballer-s-1-9663.html
19,http://aajtak.intoday.in/gallery/top-10-flop-cricketers-of-ipl-8-1-8673.html
20,http://aajtak.intoday.in/gallery/favourites-australia-take-on-west-indies-in-womens-world-cup-final-1-4921.html
21,http://aajtak.intoday.in/gallery/photos-ravichandran-ashwin-presented-with-his-arjuna-award-1-9013.html
22,http://aajtak.intoday.in/gallery/india-make-quick-work-of-england-to-win-first-test-by-9-wickets-1-4453.html
23,http://aajtak.intoday.in/gallery/ipl-6-hyderabad-beat-pune-by-22-runs-1-5201.html
24,http://aajtak.intoday.in/gallery/animals-of-the-world-picking-world-cup-match-winners-1-6891.html
25,http://aajtak.intoday.in/gallery/India-reaches-the-final-of-U-19-World-Cup-1-3948.html
26,http://aajtak.intoday.in/gallery/5-most-famous-india-wins-over-australia-1-4919.html
27,http://aajtak.intoday.in/gallery/yusuf-pathan-ties-knot-with-mumbai-physio-afreen-1-5169.html
28,http://aajtak.intoday.in/gallery/pro-kabaddi-abhishek-bachchan-owns-jaipur-team-1-6597.html
29,http://aajtak.intoday.in/gallery/rcb-wins-against-sunrisers-hyderabad-in-ipl-9-1-10096.html
30,http://aajtak.intoday.in/gallery/west-indies-in-t20-world-cup-semi-final-1-4174.html
31,http://aajtak.intoday.in/gallery/Sri-Lanka-beat-Zimbabwe-1-4096.html
32,http://aajtak.intoday.in/gallery/photos-india-vs-bangladesh-only-test-day-three-belongs-to-murali-vijay-and-rahane-1-8747.html
33,http://aajtak.intoday.in/gallery/photos-ipl-8-eliminator-rajasthan-royals-vs-royal-challengers-bangalore-match-aushka-sharma-dipika-pallikal-were-present-in-the-stadium-1-8656.html
34,http://aajtak.intoday.in/gallery/india-wins-against-australia-in-t-20-world-cup-league-match-1-6554.html
35,http://aajtak.intoday.in/gallery/india-beat-new-zealand-in-hyderabad-test-1-3968.html
36,http://aajtak.intoday.in/gallery/ipl-kolkata-knight-riders-vs-mumbai-indians-match-1-at-eden-gardens-photos-1-8494.html
37,http://aajtak.intoday.in/gallery/injuries-hit-wimbledon-as-sharapova-loses-1-5490.html
38,http://aajtak.intoday.in/gallery/zimbabwe-beat-hong-kong-in-first-qualifying-match-of-icc-world-t20-2016-1-9908.html
39,http://aajtak.intoday.in/gallery/who-is-rakhee-kapoor-tandon-the-girl-from-ipl-2015-final-1-8692.html
40,http://aajtak.intoday.in/gallery/dhoni-sachin-zip-zap-zoom-on-formula-one-track-1-5155.html
41,http://aajtak.intoday.in/gallery/all-too-easy-for-chennai-against-punjab-1-5231.html
42,http://aajtak.intoday.in/gallery/england-dismiss-india-for-327-on-day-two-at-the-mumbai-test-1-4478.html
43,http://aajtak.intoday.in/gallery/top-indian-scorer-against-sri-lanka-in-test-cricket--1-9098.html
44,http://aajtak.intoday.in/gallery/photos-india-vs-zimbabwe-1st-t20-india-beat-zimbabwe-by-54-runs-1-8938.html
45,http://aajtak.intoday.in/gallery/photos-of-opening-ceremony-of-fifa-world-cup-2014-1-6864.html
46,http://aajtak.intoday.in/gallery/anushka-sharma-and-virat-kohli-on-dinner-date-with-her-brother-karnesh-sharma-1-7627.html
47,http://aajtak.intoday.in/gallery/west-indies-beat-team-india-to-enter-into-the-finals-of-wt20-2016-1-10035.html
48,http://aajtak.intoday.in/gallery/pak-beats-india-by-85-runs-clinches-series-2-0-1-4699.html
49,http://aajtak.intoday.in/gallery/unseen-pictures-of-ipl-8-mumbai-indian-vs-chennai-super-kings-final-match-1-8680.html
50,http://aajtak.intoday.in/gallery/photos-ipl-cheerleaders-glitz-glamour-and-glitter-1-8592.html
51,http://aajtak.intoday.in/gallery/kings-xi-punjab-beat-sunrisers-hyderabad-by-72-runs-1-6642.html
52,http://aajtak.intoday.in/gallery/photos-team-india-beat-sri-lanka-by-117-runs-in-last-test-to-win-the-first-series-in-lanka-after-22-years-1-9164.html
53,http://aajtak.intoday.in/gallery/sehwag-fires-as-daredevils-agonising-wait-ends-1-5276.html
54,http://aajtak.intoday.in/gallery/hyderabad-stun-rajasthan-to-keep-their-play-offs-dream-alive-1-5384.html
55,http://aajtak.intoday.in/gallery/sania-mirza-cara-black-clinch-doubles-title-at-wta-finals-1-7613.html
56,http://aajtak.intoday.in/gallery/india-vs-oman-fifa-world-cup-qualifiers-1-8749.html
57,http://aajtak.intoday.in/gallery/india-wins-against-bangladesh-in-asia-cup-2014-1-6418.html
58,http://aajtak.intoday.in/gallery/rohit-sharma-roars-sri-lankans-fumble-world-records-tumble-1-7737.html
59,http://aajtak.intoday.in/gallery/viswanathan-anand-era-ends-as-magnus-carlsen-is-new-king-of-chess-1-6070.html
60,http://aajtak.intoday.in/gallery/ashwin-shines-on-day-2-1-3999.html
61,http://aajtak.intoday.in/gallery/india-vs-south-africa-photos-of-first-day-of-4th-cricket-test-match-1-9501.html
62,http://aajtak.intoday.in/gallery/world-cup-2014-belgium-defeats-algeria-2-1-1-6908.html
63,http://aajtak.intoday.in/gallery/sebastian-vettel-wins-fourth-f1-world-title-1-5969.html
64,http://aajtak.intoday.in/gallery/team-india-won-second-t20-by-69-runs-1-9800.html
65,http://aajtak.intoday.in/gallery/rahul-dravid-1-1984.html
66,http://aajtak.intoday.in/gallery/england-won-the-ashes-after-resounding-innings-triumph-over-australia-stuart-broad-joe-root-and-ben-stokes-were-the-hero-s-1-9054.html
67,http://aajtak.intoday.in/gallery/mumbai-steal-dhonis-thunder-beat-chennai-by-9-runs-1-5211.html
68,http://aajtak.intoday.in/gallery/team-india-beat-pakistan-by-five-wickets-in-asia-cup-1-9861.html
69,http://aajtak.intoday.in/gallery/ranchi-odi-india-beat-england-by-7-wickets-1-4786.html
70,http://aajtak.intoday.in/gallery/chennai-inflict-37-run-win-against-pune-1-5317.html
71,http://aajtak.intoday.in/gallery/delhi-test-day-1--spinners-put-hosts-on-top-1-5145.html
72,http://aajtak.intoday.in/gallery/Aus-beats-SA-1-4170.html
73,http://aajtak.intoday.in/gallery/team-india-best-test-captain-ms-dhoni-1-8059.html
74,http://aajtak.intoday.in/gallery/jadhav-binny-trigger-clean-sweep-for-india-1-8926.html
75,http://aajtak.intoday.in/gallery/t20-league-2013-hyderabad-beat-mumbai-by-7-wickets-1-5322.html
76,http://aajtak.intoday.in/gallery/india-vs-england-practice-before-2nd-test-match-1-4471.html
77,http://aajtak.intoday.in/gallery/Yuvraj-singh-back-in-Team-India-1-3867.html
78,http://aajtak.intoday.in/gallery/hyderabad-beat-punjab-by-5-wickets-1-5266.html
79,http://aajtak.intoday.in/gallery/Team-india-beat-South-Africa-1-4178.html
80,http://aajtak.intoday.in/gallery/gallery-virat-kohli-in-different-moods-and-gestures-1-9408.html
81,http://aajtak.intoday.in/gallery/team-india-won-their-sixth-asia-cup-1-9899.html
82,http://aajtak.intoday.in/gallery/bangalore-bank-on-silent-beast-chris-gayle-1-5199.html
83,http://aajtak.intoday.in/gallery/mumbai-beat-rajasthan-by-14-runs-1-5377.html
84,http://aajtak.intoday.in/gallery/indian-cricketer-and-left-hand-batsman-shikhar-dhawan-performs-large-in-big-matches-1-8311.html
85,http://aajtak.intoday.in/gallery/saina-nehwal-wins-bronze-medal-1-3582.html
86,http://aajtak.intoday.in/gallery/mohammad-shami-profile-gallery-1-7734.html
87,http://aajtak.intoday.in/gallery/fifa-world-cup-ivory-coast-vs-japan-in-pics-1-6880.html
88,http://aajtak.intoday.in/gallery/photos-phillip-hughes-remembered-in-cricket-world-this-way-1-7852.html
89,http://aajtak.intoday.in/gallery/ind-vs-eng-raina-ton-helps-india-trounce-england-by---133-runs-in-2nd-odi-1-7229.html
90,http://aajtak.intoday.in/gallery/profile-gallery-of-badminton-player-ashwini-ponnappa-1-7334.html
91,http://aajtak.intoday.in/gallery/Indian-model-accuses-Pak-Umpire-Asad-Rauf-for-sexual-abuse-1-3905.html
92,http://aajtak.intoday.in/gallery/captain-knocks-ton-1-3991.html
93,http://aajtak.intoday.in/gallery/unseen-photos-of-maria-sharapova-1-6844.html
94,http://aajtak.intoday.in/gallery/commonwealth-games-2014-these-girls-are-medal-hopes-for-india-1-7045.html
95,http://aajtak.intoday.in/gallery/history-of-india-vs-australia-cricket-controversies-1-7915.html
96,http://aajtak.intoday.in/gallery/Aus-easily-beat-ireland-1-4101.html
97,http://aajtak.intoday.in/gallery/chennai-thrash-delhi-by-86-runs-1-5261.html
98,http://aajtak.intoday.in/gallery/sports-10-big-players-missing-from-ipl-like-joe-root-martin-guptill-marlon-samuels-and-darren-sammy-1-10073.html
