,links
0,http://aajtak.intoday.in/gallery/wrecked-destroyed-and-ill-fated-the-tale-of-asiana-flight-214-1-5518.html
1,http://aajtak.intoday.in/gallery/former-british-pm-margaret-thatcher-dies-at-87-1-5217.html
2,http://aajtak.intoday.in/gallery/sno-festival-of-china-1-4719.html
3,http://aajtak.intoday.in/gallery/terrorist-attack-in-nice-city-of-fance-more-than-80-killed-1-10693.html
4,http://aajtak.intoday.in/gallery/meet-love-life-of-putin-1-8011.html
5,http://aajtak.intoday.in/gallery/stampede-in-ivory-coast-1-4696.html
6,http://aajtak.intoday.in/gallery/prime-minister-narendra-modi-us-visit-preparation-undeway-1-7365.html
7,http://aajtak.intoday.in/gallery/inside-the-billionaire-bunkers-pics-where-the-worlds-super-rich-will-ride-out-the-apocalypse-1-11646.html
8,http://aajtak.intoday.in/gallery/pictures-lion-cubs-en-route-to-jordan-sanctuary-check-into-gaza-hotel-1-8862.html
9,http://aajtak.intoday.in/gallery/attack-on-karachi-airport-in-pics-1-6845.html
10,http://aajtak.intoday.in/gallery/http--aajtak.intoday.in-gallery-nita-ambani-mukesh-ambani-ipl-10-winner-educational-qualification-dhirubhai-ambani-family-1-12694-1-3319.html
11,http://aajtak.intoday.in/gallery/myanmar-narendra-modi-bahadur-shah-zafar-mausoleum-kali-bari-temple-1-14578.html
12,http://aajtak.intoday.in/gallery/narendra-modi-israel-visit-benjamin-netanyahu-flower-1-13361.html
13,http://aajtak.intoday.in/gallery/marina-abromovik-stage-artist-rythm-0-gun-point-yugoslavia-1-11807.html
14,http://aajtak.intoday.in/gallery/photographs-of-incredible-international-borders-1-11437.html
15,http://aajtak.intoday.in/gallery/north-korea-conducted-successful-hydrogen-bomb-testing-1-9648.html
16,http://aajtak.intoday.in/gallery/mexico-earthquake-1985-anniversary-hundreds-death-1-14864.html
17,http://aajtak.intoday.in/gallery/welcome-to-the-white-house--1-8863.html
18,http://aajtak.intoday.in/gallery/beautiful-museums-of-the-future-1-8295.html
19,http://aajtak.intoday.in/gallery/serial-blast-in-indonesian-capital-jakarta-1-9679.html
20,http://aajtak.intoday.in/gallery/pictures-indian-consulate-in-herat-afghanistan-attacked-1-6768.html
21,http://aajtak.intoday.in/gallery/-kurdish-women-fighters-battle-islamic-state-1-8746.html
22,http://aajtak.intoday.in/gallery/Plane-crash-in-kathmandu-1-4150.html
